obp_algorithm,prp_algorithm,ls_algorithm,time,capacity_device,num_orders,before_distance,after_distance
G01,LGAP,LS_1x0,13599937,30,20,3867,3867
G01,LGAP,LS_1x1,3119150,30,20,3867,3867
G01,LGAP,LS_1x2,11927577,30,20,3867,3867
G01,LGAP,LS_2x2,19280719,30,20,3867,3867
G02,LGAP,LS_1x0,8044686,30,20,4134,4134
G02,LGAP,LS_1x1,2319347,30,20,4134,4080
G02,LGAP,LS_1x2,8372281,30,20,4134,4084
G02,LGAP,LS_2x2,2732458,30,20,4134,4134
G03,LGAP,LS_1x0,6109559,30,20,3883,3883
G03,LGAP,LS_1x1,1791186,30,20,3883,3873
G03,LGAP,LS_1x2,9555100,30,20,3883,3883
G03,LGAP,LS_2x2,4247454,30,20,3883,3883
G01,LGAP,LS_1x0,1296010,30,20,3652,3652
G01,LGAP,LS_1x1,927213,30,20,3652,3592
G01,LGAP,LS_1x2,1211437,30,20,3652,3583
G01,LGAP,LS_2x2,18612778,30,20,3652,3652
G02,LGAP,LS_1x0,4076649,30,20,4196,4196
G02,LGAP,LS_1x1,906708,30,20,4196,4196
G02,LGAP,LS_1x2,4054800,30,20,4196,4093
G02,LGAP,LS_2x2,1536487,30,20,4196,4196
G03,LGAP,LS_1x0,2724206,30,20,3838,3838
G03,LGAP,LS_1x1,1578390,30,20,3838,3838
G03,LGAP,LS_1x2,4341540,30,20,3838,3838
G03,LGAP,LS_2x2,5673493,30,20,3838,3838
G01,LGAP,LS_1x0,1043663,30,20,3392,3392
G01,LGAP,LS_1x1,998380,30,20,3392,3392
G01,LGAP,LS_1x2,1100627,30,20,3392,3392
G01,LGAP,LS_2x2,16859568,30,20,3392,3392
G02,LGAP,LS_1x0,3743360,30,20,4185,4111
G02,LGAP,LS_1x1,1006266,30,20,4185,4169
G02,LGAP,LS_1x2,2601146,30,20,4185,4041
G02,LGAP,LS_2x2,928773,30,20,4185,4185
G03,LGAP,LS_1x0,2025175,30,20,3661,3661
G03,LGAP,LS_1x1,860819,30,20,3661,3593
G03,LGAP,LS_1x2,3162770,30,20,3661,3661
G03,LGAP,LS_2x2,6069428,30,20,3661,3661
